Age,Weight,Duration,Calories
60,90.0,11.0,58.0
29,77.0,15.0,71.0
40,87.0,5.0,20.0
26,93.0,17.0,78.0
26,76.0,19.0,93.0
25,58.0,6.0,17.0
60,87.0,3.0,12.0
25,81.0,23.0,115.0
39,65.0,19.0,119.0
30,53.0,26.0,168.0
23,100.0,12.0,44.0
37,51.0,29.0,192.0
22,47.0,17.0,96.0
26,68.0,23.0,135.0
56,60.0,12.0,54.0
43,79.0,30.0,239.0
38,65.0,14.0,69.0
24,80.0,14.0,46.0
25,63.0,21.0,115.0
31,62.0,4.0,17.0
54,57.0,25.0,190.0
34,91.0,12.0,48.0
28,72.0,27.0,178.0
24,95.0,6.0,20.0
27,69.0,15.0,64.0
35,57.0,19.0,95.0
49,89.0,25.0,196.0
36,91.0,2.0,9.0
58,83.0,18.0,105.0
40,61.0,12.0,58.0
31,77.0,24.0,111.0
50,86.0,17.0,108.0
36,109.0,6.0,24.0
34,61.0,13.0,67.0
78,54.0,13.0,62.0
41,76.0,28.0,172.0
41,71.0,7.0,24.0
24,77.0,19.0,84.0
67,69.0,20.0,132.0
47,75.0,25.0,167.0
42,52.0,17.0,101.0
25,75.0,23.0,113.0
25,78.0,17.0,84.0
58,68.0,6.0,28.0
68,98.0,22.0,157.0
24,91.0,14.0,64.0
38,92.0,21.0,133.0
26,59.0,23.0,145.0
64,83.0,24.0,174.0
49,75.0,7.0,34.0
73,57.0,29.0,193.0
27,86.0,24.0,147.0
66,72.0,18.0,133.0
39,104.0,26.0,161.0
30,62.0,6.0,18.0
76,96.0,12.0,85.0
60,90.0,15.0,90.0
54,90.0,23.0,176.0
49,66.0,11.0,51.0
24,66.0,7.0,24.0
28,57.0,6.0,22.0
72,102.0,25.0,212.0
32,78.0,29.0,201.0
36,59.0,17.0,83.0
65,103.0,14.0,87.0
36,67.0,27.0,141.0
32,63.0,23.0,134.0
42,84.0,2.0,5.0
34,94.0,29.0,201.0
34,78.0,3.0,9.0
26,86.0,8.0,20.0
31,105.0,29.0,221.0
64,63.0,17.0,112.0
34,93.0,20.0,108.0
63,112.0,29.0,257.0
44,87.0,27.0,192.0
36,96.0,17.0,72.0
41,71.0,28.0,169.0
73,77.0,18.0,120.0
31,85.0,28.0,172.0
22,73.0,10.0,21.0
34,56.0,18.0,105.0
21,65.0,25.0,156.0
22,50.0,3.0,13.0
33,97.0,24.0,134.0
51,60.0,21.0,130.0
45,99.0,2.0,7.0
33,67.0,25.0,140.0
47,97.0,7.0,34.0
70,74.0,9.0,34.0
77,63.0,8.0,44.0
35,71.0,11.0,42.0
44,60.0,2.0,9.0
71,60.0,18.0,107.0
54,75.0,9.0,39.0
63,68.0,26.0,178.0
50,55.0,13.0,79.0
63,105.0,15.0,113.0
30,58.0,22.0,143.0
33,57.0,4.0,16.0
38,91.0,24.0,137.0
20,81.0,17.0,71.0
67,62.0,13.0,72.0
24,90.0,14.0,76.0
30,103.0,27.0,187.0
35,49.0,18.0,109.0
63,79.0,29.0,204.0
50,60.0,6.0,29.0
33,101.0,17.0,91.0
36,58.0,4.0,16.0
75,97.0,7.0,36.0
56,93.0,13.0,80.0
50,75.0,22.0,151.0
24,80.0,27.0,195.0
32,72.0,8.0,26.0
49,100.0,22.0,138.0
77,65.0,3.0,15.0
67,75.0,19.0,120.0
23,81.0,30.0,197.0
37,95.0,21.0,114.0
35,59.0,20.0,127.0
34,83.0,23.0,112.0
49,67.0,21.0,116.0
69,61.0,8.0,35.0
49,101.0,16.0,110.0
41,51.0,22.0,117.0
42,95.0,17.0,115.0
52,93.0,21.0,157.0
26,60.0,12.0,54.0
79,80.0,25.0,163.0
72,82.0,19.0,156.0
34,92.0,10.0,42.0
60,50.0,7.0,35.0
45,57.0,7.0,34.0
33,92.0,19.0,99.0
56,97.0,20.0,161.0
21,54.0,8.0,38.0
50,61.0,18.0,104.0
60,86.0,27.0,200.0
39,72.0,28.0,183.0
48,75.0,19.0,140.0
38,65.0,19.0,100.0
54,95.0,22.0,178.0
23,89.0,27.0,150.0
72,68.0,15.0,83.0
47,79.0,6.0,12.0
58,72.0,8.0,49.0
41,85.0,25.0,147.0
62,100.0,8.0,44.0
30,67.0,29.0,179.0
32,56.0,23.0,161.0
20,80.0,9.0,20.0
53,65.0,21.0,127.0
51,95.0,30.0,247.0
78,86.0,23.0,173.0
31,69.0,1.0,3.0
74,112.0,6.0,32.0
50,70.0,22.0,140.0
40,70.0,8.0,34.0
41,75.0,8.0,30.0
26,54.0,13.0,64.0
25,89.0,27.0,152.0
31,89.0,15.0,91.0
20,90.0,4.0,9.0
55,72.0,5.0,20.0
52,59.0,25.0,156.0
60,105.0,26.0,223.0
36,93.0,16.0,83.0
53,69.0,11.0,51.0
36,95.0,10.0,52.0
23,68.0,25.0,170.0
36,57.0,2.0,7.0
37,61.0,25.0,149.0
48,80.0,27.0,181.0
39,71.0,27.0,201.0
21,103.0,7.0,23.0
20,86.0,23.0,109.0
57,72.0,8.0,30.0
77,66.0,15.0,84.0
34,85.0,19.0,128.0
52,92.0,23.0,137.0
70,91.0,28.0,216.0
64,54.0,12.0,68.0
73,101.0,18.0,129.0
47,99.0,11.0,50.0
39,65.0,5.0,19.0
25,60.0,7.0,30.0
22,67.0,27.0,197.0
67,78.0,4.0,24.0
64,67.0,13.0,70.0
37,100.0,12.0,54.0
21,78.0,19.0,88.0
40,97.0,7.0,24.0
36,68.0,19.0,121.0
53,77.0,11.0,57.0
41,99.0,22.0,126.0
56,88.0,5.0,24.0
29,65.0,11.0,41.0
28,92.0,7.0,28.0
22,88.0,10.0,34.0
76,93.0,23.0,161.0
73,76.0,4.0,20.0
39,86.0,23.0,119.0
69,59.0,11.0,63.0
46,75.0,12.0,58.0
30,58.0,30.0,215.0
35,67.0,17.0,96.0
60,71.0,24.0,160.0
35,50.0,25.0,154.0
26,84.0,5.0,11.0
21,83.0,23.0,122.0
27,57.0,22.0,124.0
47,69.0,21.0,113.0
27,79.0,3.0,9.0
49,79.0,29.0,208.0
27,83.0,19.0,101.0
46,91.0,14.0,66.0
58,98.0,14.0,100.0
27,77.0,13.0,65.0
29,76.0,13.0,47.0
39,96.0,3.0,8.0
56,63.0,4.0,17.0
32,83.0,21.0,101.0
43,67.0,5.0,18.0
21,98.0,21.0,131.0
76,72.0,10.0,58.0
22,59.0,15.0,87.0
35,99.0,24.0,152.0
45,95.0,28.0,193.0
32,83.0,10.0,51.0
39,80.0,25.0,157.0
44,75.0,27.0,165.0
26,67.0,6.0,22.0
42,72.0,17.0,91.0
24,78.0,2.0,9.0
56,93.0,14.0,74.0
71,96.0,5.0,26.0
37,84.0,11.0,57.0
47,63.0,10.0,37.0
48,67.0,29.0,217.0
52,86.0,11.0,47.0
40,98.0,24.0,139.0
66,75.0,4.0,19.0
37,59.0,16.0,80.0
28,93.0,17.0,74.0
59,51.0,10.0,54.0
24,78.0,28.0,154.0
67,62.0,26.0,140.0
33,98.0,10.0,52.0
34,99.0,15.0,79.0
40,84.0,17.0,94.0
22,85.0,28.0,202.0
66,75.0,27.0,238.0
42,82.0,19.0,117.0
42,111.0,7.0,26.0
64,97.0,23.0,184.0
32,64.0,28.0,169.0
24,91.0,1.0,2.0
26,83.0,27.0,162.0
32,55.0,13.0,62.0
51,94.0,21.0,150.0
40,59.0,27.0,183.0
34,74.0,25.0,138.0
48,88.0,15.0,99.0
21,45.0,23.0,128.0
31,68.0,12.0,54.0
76,103.0,18.0,127.0
20,79.0,5.0,11.0
22,73.0,18.0,66.0
44,84.0,11.0,49.0
49,67.0,10.0,42.0
49,79.0,7.0,37.0
46,55.0,3.0,12.0
75,84.0,29.0,243.0
20,58.0,5.0,14.0
33,59.0,28.0,171.0
68,75.0,28.0,241.0
58,73.0,20.0,125.0
23,81.0,26.0,171.0
79,96.0,9.0,52.0
43,104.0,28.0,187.0
37,74.0,24.0,141.0
75,103.0,28.0,314.0
61,73.0,26.0,159.0
26,62.0,9.0,30.0
23,72.0,28.0,176.0
64,82.0,25.0,211.0
20,68.0,8.0,29.0
22,69.0,21.0,99.0
27,69.0,27.0,190.0
36,95.0,7.0,22.0
59,92.0,30.0,247.0
36,103.0,5.0,17.0
71,65.0,8.0,37.0
21,67.0,21.0,117.0
56,90.0,10.0,52.0
68,64.0,2.0,7.0
75,74.0,10.0,68.0
48,84.0,17.0,74.0
62,91.0,24.0,154.0
53,60.0,26.0,165.0
47,89.0,17.0,96.0
39,91.0,13.0,77.0
54,63.0,17.0,86.0
38,104.0,21.0,129.0
39,51.0,26.0,151.0
51,81.0,28.0,197.0
30,92.0,13.0,77.0
33,61.0,5.0,22.0
47,82.0,27.0,161.0
64,55.0,25.0,192.0
37,58.0,8.0,37.0
41,91.0,20.0,135.0
61,77.0,11.0,55.0
38,71.0,10.0,29.0
21,88.0,12.0,52.0
26,73.0,1.0,2.0
48,81.0,21.0,106.0
71,80.0,6.0,28.0
73,97.0,22.0,189.0
65,61.0,26.0,190.0
57,56.0,13.0,66.0
49,93.0,22.0,135.0
55,79.0,4.0,23.0
20,74.0,12.0,17.0
45,58.0,5.0,21.0
53,75.0,13.0,60.0
46,58.0,10.0,51.0
25,96.0,5.0,15.0
22,65.0,9.0,29.0
60,66.0,27.0,190.0
50,62.0,11.0,51.0
61,56.0,17.0,95.0
69,62.0,29.0,216.0
30,92.0,30.0,165.0
33,61.0,20.0,122.0
21,105.0,15.0,69.0
39,53.0,20.0,113.0
26,81.0,7.0,26.0
44,80.0,5.0,22.0
58,42.0,12.0,70.0
24,83.0,4.0,9.0
35,91.0,15.0,72.0
21,94.0,25.0,165.0
26,82.0,29.0,165.0
30,57.0,15.0,64.0
27,81.0,18.0,103.0
32,51.0,4.0,15.0
30,84.0,9.0,32.0
79,57.0,14.0,68.0
39,58.0,25.0,159.0
25,89.0,6.0,23.0
23,70.0,13.0,54.0
47,70.0,2.0,9.0
34,80.0,29.0,240.0
36,54.0,10.0,42.0
63,115.0,14.0,117.0
37,59.0,26.0,164.0
50,55.0,23.0,132.0
62,96.0,2.0,9.0
37,67.0,15.0,74.0
35,69.0,23.0,116.0
27,79.0,8.0,42.0
55,79.0,24.0,187.0
36,75.0,16.0,70.0
22,45.0,7.0,29.0
20,71.0,9.0,17.0
43,83.0,28.0,195.0
73,76.0,19.0,127.0
22,82.0,14.0,39.0
67,64.0,6.0,28.0
25,100.0,16.0,68.0
41,63.0,17.0,91.0
49,81.0,16.0,89.0
58,53.0,2.0,10.0
27,80.0,28.0,185.0
33,76.0,5.0,16.0
59,58.0,19.0,97.0
21,77.0,13.0,44.0
65,59.0,10.0,56.0
22,88.0,21.0,112.0
55,91.0,10.0,37.0
22,82.0,9.0,24.0
35,38.0,30.0,216.0
58,101.0,15.0,106.0
45,103.0,14.0,57.0
62,99.0,18.0,119.0
74,60.0,16.0,96.0
48,46.0,7.0,33.0
23,73.0,23.0,106.0
31,90.0,25.0,156.0
53,98.0,14.0,75.0
73,89.0,18.0,130.0
27,66.0,21.0,142.0
40,83.0,22.0,121.0
66,66.0,24.0,143.0
46,73.0,20.0,123.0
75,62.0,26.0,186.0
33,67.0,13.0,53.0
49,59.0,27.0,170.0
37,67.0,15.0,78.0
43,70.0,26.0,182.0
66,82.0,11.0,55.0
51,59.0,25.0,150.0
33,56.0,6.0,21.0
48,72.0,6.0,26.0
43,95.0,18.0,90.0
48,75.0,16.0,91.0
34,87.0,17.0,79.0
61,66.0,29.0,195.0
48,75.0,10.0,57.0
30,57.0,18.0,96.0
79,61.0,7.0,39.0
67,73.0,4.0,18.0
60,84.0,4.0,17.0
57,76.0,15.0,82.0
34,96.0,19.0,110.0
42,56.0,25.0,161.0
38,82.0,25.0,164.0
43,83.0,5.0,15.0
76,99.0,12.0,85.0
37,79.0,23.0,128.0
23,98.0,14.0,59.0
21,108.0,2.0,6.0
20,54.0,18.0,82.0
23,62.0,25.0,148.0
20,65.0,3.0,8.0
25,71.0,14.0,53.0
24,50.0,16.0,85.0
29,57.0,22.0,120.0
43,106.0,28.0,205.0
26,66.0,4.0,13.0
76,77.0,28.0,192.0
43,89.0,4.0,18.0
73,94.0,7.0,44.0
42,104.0,26.0,172.0
23,65.0,27.0,158.0
22,76.0,6.0,11.0
28,77.0,25.0,108.0
20,64.0,23.0,112.0
36,65.0,14.0,66.0
26,104.0,10.0,36.0
59,72.0,4.0,19.0
22,50.0,10.0,49.0
50,70.0,26.0,149.0
22,77.0,2.0,4.0
52,70.0,28.0,206.0
31,66.0,23.0,111.0
68,98.0,28.0,226.0
48,65.0,11.0,56.0
31,94.0,7.0,30.0
23,60.0,15.0,67.0
24,78.0,22.0,111.0
58,75.0,27.0,199.0
32,69.0,15.0,85.0
21,47.0,2.0,6.0
63,98.0,28.0,219.0
77,82.0,21.0,162.0
49,85.0,25.0,190.0
26,91.0,30.0,190.0
53,64.0,9.0,40.0
31,77.0,9.0,40.0
32,66.0,3.0,8.0
35,71.0,8.0,31.0
66,57.0,21.0,130.0
40,60.0,7.0,32.0
62,87.0,22.0,139.0
24,58.0,3.0,12.0
37,87.0,11.0,55.0
49,86.0,9.0,48.0
32,99.0,24.0,160.0
46,62.0,13.0,67.0
59,75.0,25.0,178.0
42,68.0,17.0,79.0
44,85.0,9.0,32.0
74,77.0,22.0,140.0
68,99.0,14.0,86.0
58,84.0,16.0,97.0
32,80.0,28.0,217.0
34,93.0,21.0,88.0
23,58.0,21.0,127.0
52,69.0,7.0,32.0
28,63.0,5.0,19.0
47,66.0,20.0,121.0
24,68.0,12.0,40.0
73,60.0,9.0,48.0
76,103.0,25.0,195.0
65,69.0,10.0,52.0
29,71.0,4.0,8.0
20,81.0,26.0,136.0
33,90.0,6.0,20.0
33,61.0,3.0,11.0
34,72.0,26.0,144.0
43,60.0,13.0,59.0
47,74.0,10.0,53.0
65,82.0,8.0,38.0
22,62.0,29.0,152.0
28,85.0,8.0,34.0
30,60.0,3.0,12.0
20,84.0,1.0,1.0
32,96.0,28.0,197.0
56,66.0,20.0,124.0
67,90.0,15.0,120.0
62,105.0,9.0,48.0
33,73.0,17.0,86.0
46,96.0,25.0,185.0
79,91.0,8.0,49.0
57,57.0,11.0,49.0
49,66.0,11.0,48.0
41,87.0,14.0,81.0
38,77.0,19.0,137.0
28,84.0,24.0,115.0
31,84.0,19.0,93.0
48,93.0,8.0,34.0
41,80.0,26.0,170.0
71,103.0,6.0,38.0
30,64.0,26.0,139.0
30,67.0,18.0,86.0
29,59.0,26.0,174.0
34,88.0,5.0,14.0
42,76.0,29.0,197.0
51,68.0,17.0,107.0
35,92.0,19.0,106.0
28,68.0,3.0,11.0
33,80.0,6.0,25.0
22,56.0,23.0,120.0
64,73.0,22.0,151.0
57,57.0,18.0,91.0
42,56.0,18.0,95.0
24,91.0,23.0,119.0
49,80.0,3.0,10.0
32,81.0,19.0,96.0
78,80.0,13.0,92.0
53,63.0,24.0,159.0
68,98.0,21.0,169.0
47,108.0,15.0,93.0
51,56.0,15.0,83.0
64,59.0,22.0,116.0
51,94.0,17.0,75.0
23,55.0,26.0,137.0
42,48.0,15.0,79.0
23,75.0,8.0,23.0
70,98.0,4.0,19.0
53,94.0,11.0,52.0
28,84.0,16.0,76.0
48,80.0,10.0,47.0
43,61.0,22.0,124.0
21,71.0,7.0,28.0
26,92.0,22.0,127.0
53,67.0,19.0,101.0
32,68.0,26.0,150.0
24,105.0,9.0,34.0
30,94.0,13.0,56.0
31,69.0,27.0,158.0
21,87.0,22.0,129.0
35,86.0,10.0,44.0
56,105.0,11.0,66.0
34,51.0,28.0,181.0
29,58.0,14.0,79.0
23,51.0,21.0,145.0
22,62.0,28.0,180.0
42,82.0,15.0,81.0
40,73.0,15.0,75.0
28,83.0,2.0,4.0
49,102.0,17.0,110.0
28,79.0,9.0,35.0
56,94.0,5.0,23.0
41,61.0,29.0,175.0
38,96.0,27.0,137.0
21,48.0,27.0,166.0
73,90.0,21.0,136.0
48,91.0,24.0,156.0
53,71.0,8.0,37.0
43,82.0,16.0,97.0
20,71.0,18.0,77.0
22,85.0,28.0,156.0
50,95.0,11.0,58.0
46,89.0,10.0,53.0
40,62.0,19.0,108.0
71,65.0,11.0,56.0
20,76.0,19.0,103.0
68,98.0,22.0,164.0
50,73.0,13.0,73.0
24,71.0,2.0,3.0
25,57.0,15.0,80.0
34,103.0,17.0,88.0
42,75.0,14.0,74.0
29,40.0,16.0,94.0
40,66.0,6.0,20.0
77,76.0,9.0,41.0
46,83.0,20.0,112.0
78,71.0,12.0,69.0
35,92.0,24.0,130.0
21,100.0,21.0,100.0
45,57.0,27.0,169.0
56,65.0,27.0,183.0
74,66.0,29.0,211.0
46,83.0,6.0,23.0
21,92.0,14.0,58.0
26,75.0,4.0,5.0
63,79.0,12.0,62.0
34,51.0,3.0,14.0
68,106.0,23.0,196.0
56,87.0,16.0,82.0
21,78.0,28.0,163.0
20,73.0,25.0,108.0
35,62.0,15.0,87.0
25,97.0,18.0,91.0
62,44.0,26.0,186.0
63,66.0,8.0,34.0
46,57.0,11.0,61.0
46,80.0,21.0,113.0
24,87.0,5.0,11.0
43,83.0,13.0,42.0
27,59.0,2.0,7.0
65,80.0,14.0,86.0
63,50.0,7.0,35.0
59,104.0,20.0,146.0
34,51.0,7.0,38.0
57,70.0,28.0,179.0
28,94.0,10.0,30.0
31,98.0,14.0,71.0
30,66.0,16.0,65.0
38,77.0,2.0,5.0
54,71.0,29.0,190.0
54,100.0,9.0,36.0
31,97.0,15.0,64.0
73,69.0,29.0,240.0
75,57.0,27.0,212.0
39,73.0,22.0,108.0
26,87.0,5.0,15.0
28,59.0,23.0,153.0
58,91.0,10.0,53.0
79,108.0,18.0,142.0
26,58.0,15.0,74.0
53,57.0,23.0,150.0
33,53.0,17.0,85.0
60,92.0,3.0,15.0
53,81.0,5.0,19.0
26,85.0,3.0,9.0
23,83.0,3.0,10.0
31,64.0,2.0,6.0
20,78.0,24.0,135.0
32,73.0,30.0,201.0
61,104.0,28.0,232.0
27,92.0,13.0,52.0
42,84.0,6.0,23.0
22,56.0,18.0,92.0
71,67.0,19.0,99.0
28,62.0,10.0,41.0
38,77.0,26.0,192.0
43,69.0,2.0,7.0
21,84.0,27.0,116.0
38,77.0,21.0,120.0
46,83.0,2.0,9.0
49,97.0,3.0,12.0
33,82.0,4.0,14.0
61,66.0,8.0,35.0
35,90.0,24.0,162.0
32,99.0,27.0,212.0
38,56.0,20.0,101.0
58,87.0,23.0,145.0
46,64.0,2.0,8.0
25,70.0,11.0,49.0
23,54.0,9.0,42.0
24,68.0,18.0,82.0
38,65.0,3.0,12.0
29,48.0,17.0,93.0
79,63.0,8.0,39.0
37,66.0,25.0,155.0
22,58.0,16.0,90.0
20,82.0,20.0,69.0
57,68.0,18.0,133.0
58,96.0,12.0,67.0
32,49.0,5.0,23.0
32,69.0,2.0,6.0
42,55.0,27.0,194.0
50,51.0,2.0,8.0
44,75.0,12.0,58.0
27,75.0,21.0,120.0
38,70.0,13.0,57.0
23,68.0,18.0,89.0
31,58.0,16.0,91.0
52,55.0,22.0,143.0
46,82.0,24.0,156.0
56,60.0,5.0,24.0
39,74.0,6.0,19.0
66,98.0,26.0,242.0
62,78.0,22.0,135.0
63,61.0,3.0,14.0
77,52.0,28.0,190.0
54,79.0,23.0,111.0
43,51.0,9.0,47.0
30,82.0,28.0,173.0
74,87.0,20.0,150.0
25,62.0,8.0,30.0
43,98.0,17.0,122.0
40,91.0,29.0,216.0
61,69.0,28.0,208.0
56,66.0,3.0,13.0
67,72.0,8.0,39.0
72,60.0,11.0,59.0
32,96.0,21.0,151.0
51,76.0,1.0,2.0
67,64.0,17.0,86.0
65,63.0,19.0,113.0
35,91.0,23.0,170.0
32,90.0,7.0,27.0
57,78.0,3.0,6.0
50,59.0,24.0,144.0
24,72.0,8.0,34.0
55,66.0,14.0,63.0
23,97.0,15.0,79.0
79,75.0,11.0,62.0
35,76.0,12.0,57.0
31,71.0,3.0,11.0
35,89.0,24.0,161.0
70,62.0,8.0,38.0
65,96.0,5.0,24.0
58,56.0,22.0,131.0
22,79.0,29.0,201.0
24,68.0,20.0,104.0
49,61.0,27.0,175.0
26,65.0,11.0,60.0
21,92.0,4.0,8.0
23,86.0,29.0,207.0
39,62.0,15.0,74.0
33,76.0,20.0,103.0
28,57.0,3.0,10.0
70,63.0,12.0,67.0
38,85.0,8.0,25.0
27,90.0,16.0,54.0
53,84.0,14.0,73.0
38,73.0,17.0,93.0
54,66.0,6.0,26.0
32,77.0,16.0,75.0
28,76.0,21.0,125.0
27,69.0,25.0,147.0
54,82.0,4.0,17.0
56,70.0,18.0,101.0
26,91.0,15.0,66.0
25,97.0,11.0,44.0
45,81.0,19.0,116.0
21,63.0,5.0,16.0
21,64.0,4.0,11.0
36,58.0,11.0,49.0
78,96.0,15.0,78.0
49,76.0,5.0,18.0
60,114.0,1.0,5.0
32,73.0,19.0,93.0
73,96.0,2.0,12.0
22,61.0,3.0,12.0
76,84.0,7.0,35.0
50,66.0,7.0,39.0
20,52.0,9.0,42.0
43,66.0,4.0,12.0
45,60.0,15.0,76.0
23,73.0,26.0,139.0
23,52.0,25.0,159.0
25,62.0,19.0,101.0
22,97.0,1.0,2.0
58,71.0,26.0,166.0
27,87.0,3.0,6.0
60,87.0,13.0,52.0
37,71.0,26.0,157.0
24,67.0,24.0,140.0
75,68.0,16.0,103.0
52,84.0,30.0,241.0
49,66.0,10.0,36.0
31,56.0,3.0,12.0
23,88.0,16.0,91.0
27,84.0,15.0,66.0
42,61.0,14.0,62.0
36,75.0,23.0,114.0
29,86.0,4.0,12.0
57,65.0,27.0,180.0
64,83.0,4.0,17.0
63,82.0,16.0,74.0
57,61.0,27.0,185.0
70,99.0,18.0,125.0
53,53.0,2.0,9.0
50,58.0,17.0,91.0
68,48.0,8.0,39.0
64,79.0,27.0,165.0
31,87.0,22.0,96.0
33,74.0,7.0,34.0
76,56.0,22.0,136.0
25,77.0,7.0,36.0
55,55.0,9.0,43.0
27,93.0,16.0,71.0
42,63.0,8.0,40.0
54,54.0,24.0,163.0
68,63.0,26.0,188.0
33,55.0,4.0,14.0
27,92.0,3.0,9.0
20,78.0,18.0,47.0
28,58.0,27.0,146.0
54,100.0,25.0,189.0
42,93.0,14.0,68.0
43,78.0,11.0,52.0
48,65.0,14.0,58.0
52,78.0,5.0,20.0
65,61.0,12.0,71.0
31,60.0,12.0,60.0
40,81.0,8.0,24.0
62,85.0,16.0,105.0
29,91.0,8.0,23.0
50,59.0,30.0,196.0
73,95.0,10.0,70.0
37,99.0,6.0,19.0
60,63.0,12.0,72.0
25,82.0,10.0,31.0
34,41.0,14.0,70.0
29,84.0,21.0,114.0
20,64.0,2.0,5.0
35,80.0,26.0,162.0
35,83.0,19.0,102.0
45,74.0,7.0,30.0
46,65.0,26.0,166.0
50,81.0,5.0,18.0
78,54.0,8.0,40.0
40,75.0,3.0,14.0
66,74.0,23.0,135.0
61,60.0,23.0,144.0
48,63.0,17.0,75.0
20,69.0,10.0,35.0
50,68.0,3.0,12.0
64,61.0,20.0,109.0
48,110.0,6.0,22.0
29,91.0,24.0,137.0
47,58.0,17.0,90.0
20,60.0,15.0,77.0
32,86.0,23.0,143.0
59,84.0,17.0,82.0
20,60.0,20.0,111.0
64,112.0,18.0,133.0
31,98.0,4.0,13.0
30,68.0,7.0,31.0
72,66.0,19.0,121.0
45,62.0,8.0,41.0
29,72.0,20.0,100.0
37,64.0,20.0,122.0
24,66.0,12.0,50.0
38,64.0,9.0,49.0
57,76.0,28.0,214.0
50,56.0,26.0,176.0
40,74.0,29.0,150.0
24,72.0,27.0,145.0
47,93.0,13.0,71.0
50,83.0,13.0,74.0
46,52.0,25.0,183.0
